Bit_length,beta,gamma
35,-0.5651147874878897,0.7406204054535515
35,-0.5478751964387629,0.7249974104562061
35,-1.1667333175051138,1.3341864426510297
35,-0.5281298013357583,0.779554837286815
35,-0.612857997340739,0.8071172946542277
35,-0.5906957126250368,0.7073209153855293
35,-0.6156717978963081,0.7437798704268487
35,-0.6005507183362501,0.7004732295512628
35,-0.6502842575603226,0.7906381299387787
36,1.2218342459865736,0.38867036174755876
36,-0.5675346911955657,0.6252119566584526
36,-0.47215092299915823,0.45849370731534816
36,-0.5821660302370579,0.6660068164665354
36,-0.434167227340565,0.4844362793011438
36,0.43655882128834006,-0.44812004696713625
36,-0.6653561627736726,0.6870873751310177
36,0.6326434908842236,-0.7098610078507184
36,0.5718967524426238,-0.6913069189557391
36,-0.4621476625505834,0.6329362454497615
37,0.5128310972292547,-0.6110142422233544
37,-0.5796892802764841,0.7359242141805481
37,-0.562897538708145,0.6690703468178124
37,0.6205201207022726,-0.6430248118716073
37,-0.5511413494400625,0.6453743803647615
37,0.6241350199261326,-0.7610849141197169
37,0.41374875988595644,-0.6053145013241851
37,0.6739575716494212,-0.7700646629435209
37,0.4323915885224671,-0.49201192395962257
37,0.6660636496248936,-0.725288085062884
38,-0.5688860323999793,0.7286165942400651
38,-0.6245176752289663,0.7069149879149093
38,-0.6091298281700765,0.7924906868041987
38,-1.0887435802711543,1.2969306031014518
38,0.374416992935259,-0.5185838049364949
38,0.5861722460967204,-0.6579991319076105
38,-0.6578527215741162,0.8438208166671808
38,-0.8532199762221865,2.4686175226618703
38,-0.4981173820391537,0.595616524745983
38,-0.48143258353612156,0.4664196412548837
39,0.5053186253897707,-0.6405367198895132
39,-0.5759158458927965,0.6279866936612031
39,-0.6940572841990007,0.8772067590365603
39,-0.4464286757778147,0.45881862406163326
39,0.5588288840091932,-0.6997627972614535
39,-0.643737783091916,0.7582143137968346
39,0.5523352827691065,-0.6586618447700735
39,0.5305105277539464,-0.5654800150408714
39,-0.6232248693803428,0.7423570530532297
39,-0.48996056237339475,0.7094695685767932
40,-0.4418679285595884,0.5768372977970503
40,-2.739782139571803,2.0493104863576597
40,0.5435550882796584,-0.7135545436644914
40,-0.3912596315972145,0.4026071461061597
40,-0.5459329473507322,0.6838328188850427
40,-0.43840519891979923,0.5287053548910821
40,-0.5657525506678109,0.6959752557498763
40,0.6725676649319644,-0.7914123660735637
40,-0.5126659940908147,0.6414601828865623
40,-0.3992402857318575,0.47534017748294893
41,-0.5053243994853109,0.559025278398168
41,-0.5953326730423446,0.6817557389953856
41,-0.44073999514801976,0.5989126580359421
41,-0.5549480248155471,0.7246818558759472
41,-0.5129247290700989,0.7544014326084991
41,-0.4860661257665513,0.6141936675807042
41,-0.532288496029394,0.6580450031770644
41,-0.567090130713195,0.719937560190889
41,-0.545322940371458,0.5928665035825487
41,-0.6343766833991951,0.6683313184977937
42,-0.45658002938332864,0.5812184887317967
42,0.4568932780714543,-0.5283068302521317
42,-0.44463809599170906,0.5186698203976428
42,-0.4968453240138329,0.6512019621493861
42,-0.5585014314440891,0.7162396204333956
42,-0.6204407840510275,2.811844257629794
42,0.5665020625440078,-0.7118932264685169
42,0.4061231967816603,-0.4735413667204661
42,-0.686060142446501,0.7922196542397424
42,-0.5312076470521288,0.6841237316083588
43,-0.48209814285114,0.6207568032715722
43,-0.6512684531681205,0.7652067576195828
43,-0.40726132129251735,0.4546803115751883
43,0.677207222392914,-0.7391819475488848
43,-0.6278898726897886,0.8201198144666535
43,-0.6564881781239585,0.8912155706090112
43,-0.6438250954346197,0.7452108623188937
43,-0.6084757696460159,0.7319348184677229
43,-0.458544245715639,0.5974562237233797
43,-0.6541701928183848,1.2965089942272643
44,-0.4971656676210271,0.6597266436544058
44,-0.5945363175583244,0.8139174893471472
44,-0.4971533719796991,0.5853146645299445
44,-2.655616832970014,1.5599136468317985
44,-0.4557687399066996,0.6260355655456695
44,-0.5688736907964966,0.7593309431200856
44,-0.43961793768590507,0.5804186982217355
44,-0.5809772870175707,0.707143835896618
44,-0.5446390667964626,0.618257087738912
44,-0.675504618950638,0.821226779303799
45,-0.4671768543487309,0.6159451574482783
45,-0.46039419659750674,0.5415131423965344
45,-0.49275442261261443,0.5938495622455529
45,-0.57534326952579,0.6473157023650886
45,-0.6288513570950012,0.7932875390429077
45,-0.5555917805044212,0.6068730168113794
45,-0.5006908870753605,0.7023643226295189
45,-0.49042930950900354,0.5667526476933048
45,0.48717444330617676,-0.6315781627006984
45,-0.41163984174206986,0.45318285027571403
46,-0.46557567229063,0.6364692850058508
46,-0.4635930428800196,0.5195106630895837
46,-0.5059812766324904,0.5901658647510313
46,-0.45851487431802684,0.5523535036980324
46,-0.6179554655302898,0.8896090421606915
46,-0.5781404300007745,0.7547979820063698
46,-0.6420879104740613,0.8181680241293142
46,-0.6863714139715283,0.8145541752733384
46,-0.46487022207192213,0.739257538313156
46,-0.6404408230034935,0.7625986277354068
47,-0.4950389889746426,0.6813922493475117
47,-0.456692356774449,0.5488444834311685
47,-0.44557717062063806,0.5051191422862155
47,0.5233882364996495,-0.5761877650774476
47,-0.46305863636966144,0.5251837675125379
47,-0.37521092507481935,0.46867910824395687
47,-0.45070685154706347,0.4639994615424417
47,-0.4285246785548236,0.5466221217383044
47,-0.5828090422717565,0.6150613465916727
47,-0.5344633746689861,0.6893332796430321
48,-0.3900663826930238,0.408352762742015
48,-0.5090841118503474,0.6266778834594916
48,-0.4136184037175575,0.5263450910016726
48,-6.710374460919255,0.4922133326508095
48,-0.43603367890496664,0.48546416784106444
48,-0.5112501970302668,0.6474071806595256
48,-0.46983030376263113,0.5607695473374446
48,-0.6336220689642138,0.6719128591091086
48,-0.4718752679937261,0.5312629329728066
48,-0.5204665426134716,0.7105850038794563
49,-0.48329966476841346,0.6013301228434894
49,-0.5099008489171439,0.6362896468155788
49,-0.6007666931180617,0.8707102990272005
49,-0.5857810678407734,0.7505052823119613
49,-0.48428520881429543,0.4810698468719969
49,-0.5899677926278276,0.6936920531959372
49,-0.5189297418241385,0.7526763607261283
49,-0.41809522978616503,0.5233140375120792
49,-0.5090488374940961,0.6563655527649462
49,-0.5620256910951859,0.7159253030499387
50,-0.6998450990903039,0.9488412917571185
50,-0.40572429884593036,0.34461646414336705
50,-0.5014381857849365,0.7249838814000972
50,-0.5413512935781387,0.664878924547905
50,-1.2677535703455018,1.173664171464523
50,-0.516398549823735,0.65719082517887
50,-0.45082273728819594,0.5559286817462905
50,-0.5177845724876664,0.7369451462669027
50,-0.46787696937706724,0.566959430181284
50,0.512577275223481,-0.7112672805476687
51,-0.48532268354923014,0.6818937907936545
51,-0.6410060640631345,0.7186683455402878
