Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
24.0,11831819.0,5.0,58.0,58.0,0.69,0.69,0.0,0.69,0.31000000000000005
24.0,16669699.0,5.0,47.0,47.0,0.879,0.879,0.0,0.879,0.121
24.0,16136767.0,5.0,54.0,54.0,0.732,0.732,0.0,0.732,0.268
24.0,14644901.0,5.0,54.0,54.0,0.103,0.103,0.0,0.103,0.897
24.0,15705763.0,5.0,70.0,67.0,0.23,0.175,0.175,0.405,0.595
24.0,13505249.0,5.0,86.0,82.0,0.244,0.258,0.258,0.502,0.498
24.0,16682489.0,5.0,50.0,50.0,0.878,0.878,0.0,0.878,0.122
24.0,10954661.0,5.0,78.0,78.0,0.416,0.416,0.0,0.416,0.5840000000000001
25.0,18574579.0,5.0,79.0,79.0,0.632,0.632,0.0,0.632,0.368
25.0,30109217.0,5.0,76.0,76.0,0.068,0.068,0.0,0.068,0.9319999999999999
25.0,31245563.0,5.0,64.0,62.0,0.577,0.327,0.327,0.9039999999999999,0.09600000000000009
25.0,27474071.0,5.0,97.0,87.0,0.134,0.438,0.7650000000000001,0.8990000000000001,0.10099999999999987
25.0,32686361.0,5.0,87.0,87.0,0.162,0.162,0.0,0.162,0.838
25.0,29773291.0,5.0,69.0,69.0,0.302,0.302,0.0,0.302,0.698
25.0,28140617.0,5.0,91.0,78.0,0.302,0.359,0.359,0.661,0.33899999999999997
25.0,32889691.0,5.0,79.0,79.0,0.499,0.499,0.0,0.499,0.501
25.0,29108797.0,5.0,69.0,69.0,0.6,0.6,0.0,0.6,0.4
25.0,21470573.0,5.0,81.0,81.0,0.282,0.282,0.0,0.282,0.718
26.0,53723177.0,5.0,71.0,71.0,0.808,0.808,0.0,0.808,0.19199999999999995
26.0,60769547.0,6.0,47.0,47.0,0.737,0.737,0.0,0.737,0.263
26.0,38466781.0,5.0,34.0,34.0,0.652,0.652,0.0,0.652,0.348
26.0,51998357.0,5.0,69.0,69.0,0.519,0.519,0.0,0.519,0.481
26.0,66504931.0,6.0,81.0,81.0,0.112,0.112,0.0,0.112,0.888
26.0,52034641.0,5.0,105.0,105.0,0.262,0.262,0.0,0.262,0.738
26.0,58618589.0,6.0,51.0,46.0,0.368,0.506,0.506,0.874,0.126
26.0,52403459.0,5.0,63.0,63.0,0.591,0.591,0.0,0.591,0.40900000000000003
26.0,44054399.0,5.0,65.0,65.0,0.057,0.057,0.0,0.057,0.943
26.0,57798833.0,5.0,70.0,70.0,0.556,0.556,0.0,0.556,0.44399999999999995
27.0,121683083.0,6.0,79.0,79.0,0.594,0.594,0.0,0.594,0.406
27.0,78326723.0,6.0,59.0,55.0,0.175,0.123,0.123,0.298,0.702
27.0,84851609.0,6.0,43.0,43.0,0.863,0.863,0.0,0.863,0.137
27.0,117150287.0,6.0,88.0,83.0,0.052,0.116,0.116,0.168,0.832
27.0,105527371.0,6.0,66.0,66.0,0.738,0.738,0.0,0.738,0.262
27.0,69366989.0,6.0,46.0,46.0,0.456,0.456,0.0,0.456,0.544
27.0,119494523.0,6.0,54.0,54.0,0.726,0.726,0.0,0.726,0.274
27.0,128428247.0,6.0,55.0,55.0,0.409,0.409,0.0,0.409,0.591
27.0,95836511.0,6.0,74.0,72.0,0.279,0.143,0.143,0.42200000000000004,0.578
27.0,133483171.0,6.0,71.0,71.0,0.234,0.234,0.0,0.234,0.766
28.0,204579301.0,6.0,58.0,58.0,0.264,0.264,0.0,0.264,0.736
28.0,155280989.0,6.0,67.0,65.0,0.473,0.244,0.244,0.717,0.28300000000000003
28.0,174771301.0,6.0,81.0,81.0,0.018,0.018,0.0,0.018,0.982
28.0,168316963.0,6.0,57.0,57.0,0.38,0.38,0.0,0.38,0.62
28.0,149061301.0,6.0,67.0,66.0,0.432,0.496,0.496,0.9279999999999999,0.07200000000000006
28.0,268074839.0,6.0,54.0,54.0,0.699,0.699,0.0,0.699,0.30100000000000005
28.0,198739889.0,6.0,59.0,59.0,0.394,0.394,0.0,0.394,0.606
28.0,175320583.0,6.0,69.0,69.0,0.472,0.472,0.0,0.472,0.528
28.0,207746291.0,6.0,54.0,54.0,0.746,0.746,0.0,0.746,0.254
28.0,231005821.0,6.0,82.0,82.0,0.368,0.368,0.0,0.368,0.632
