Bit_length,beta,gamma
10,0.7805330080449138,-0.8064309427543971
10,-0.7822323970603444,0.8620135572264063
10,-0.7154418621984445,0.7419130770635223
10,0.7357396066838113,-0.7640591852338823
10,-0.7820722582753381,0.8459339320669583
10,-0.7837534728822213,0.8584904698307236
10,-0.7820722582753381,0.8459339320669583
10,0.7817840752235574,-0.8308377332146373
10,0.7798113042718304,-0.8128571898114048
10,-0.6965819105622947,0.6057287034406638
11,-0.591057136738839,0.645052429756946
11,-0.7725622909665603,0.8565219587975211
11,-0.7643213571777812,0.7512873746183899
11,-0.755124565926211,0.787936499424798
11,-0.6933562381737011,0.7567050839160577
11,-0.49477309567540506,0.5586936928102516
11,-0.5802361879733884,0.6924566709122031
11,0.6449479011754669,-0.6578762686136441
11,-0.6453931239668653,0.6132601480047227
11,0.6435153254314021,-0.6149784615394438
12,-0.7174037333983045,0.6904061810094706
12,-0.719615526539475,0.7676861557990642
12,-0.6766630193360857,0.7239886389911692
12,-0.77434666065627,0.9171293478255553
12,0.7438682670738388,-0.8042883283777446
12,0.7076691928448595,-0.7643674448516062
12,0.6891178309460078,-0.6917530113348912
12,0.7570322165023728,-0.8033286614282538
12,-0.42654842986151564,0.370590132453662
12,-0.40887360823108676,0.3847160032580451
13,0.41697924684762555,-0.4429759775370552
13,-0.6635404385205527,0.6963426725937302
13,0.6667548819667524,-0.780891478331821
13,0.7223154061916908,-0.682877400153446
13,0.7041653179812515,-0.7224199327656546
13,-0.6754335220566505,0.6749323056903664
13,-0.6691595591208929,0.6789022269986225
13,-0.7485171420447037,0.7800201901427247
13,-0.7477638719056279,0.8871389997246393
13,0.6667548819667524,-0.780891478331821
14,0.5446715891799935,-0.6653709883245253
14,-0.6411934818771883,0.6720150266985246
14,-0.6688701897982801,0.7055163344712543
14,0.4092158607016768,-0.47605383373376353
14,-0.7013251068430078,0.7352593226895868
14,-0.4741824912308479,0.5781726616323093
14,-0.6300139383751548,0.6573170542692326
14,-0.7047875028487927,0.7189911199890915
14,-0.7548700182844114,0.88819367798486
14,-0.5631036758778925,0.5136519714175843
15,-0.536569659298773,0.6394935698444766
15,-0.6948174833633116,0.6654596309509601
15,-0.7173910763089298,0.7562777517239232
15,-0.6328846582058796,0.7107595405086998
15,-0.5034981984613739,0.5657758087183887
15,-0.7386223719506964,0.836375539921733
15,-0.5405568981464481,0.47739976036577253
15,0.7285836598650421,-0.7600222043748434
15,-0.5579690564859519,0.6166515891738618
15,0.4205529064863863,-0.40421928208486196
16,-0.7150492020560277,0.7307540992348469
16,-0.3413503576331809,0.34106539306270167
16,-0.6963897899623757,0.7516269852162665
16,0.6367263240188015,-0.6615800883402425
16,-0.6431659890732848,0.6390960007768807
16,-0.743203602696536,0.7908385711367407
16,-0.5697208149105542,0.731656085652757
16,0.5959535971963268,-0.6258874953637168
16,0.6528759650603475,-0.7550959900860474
16,0.6640337212711779,-0.6873611488769376
17,-0.5271553262724309,0.5018518652261916
17,-0.73808674880296,0.7576843589460721
17,-0.5603317566258452,0.667487147962305
17,-0.6499063991743648,0.6827731238843926
17,0.5345794491335942,-0.533776412881854
17,0.6535085964725973,-0.6255183249875962
17,-0.6185230051463464,0.6457395833097115
17,-0.7554901592081429,0.7718020458431623
17,-0.7472214853798429,0.8243587072932221
17,-0.77123447747418,0.7646931408701698
18,0.4772205532040601,-0.5415912736904397
18,-0.7506049680838611,0.8955010735830184
